"Churned","Membership_Years","Signup_Quarter","Login_Frequency","Session_Duration_Avg","Total_Purchases","Days_Since_Last_purchase","Average_Order_Value","Cart_Abandonment_Rate","Customer_Service_calls","Returns_Rate","Discount_Usage_Rate","Product_Reviews_Written"
0,2.9,Q1,14.0,27.4,9.0,34.0,94.72,50.6,9.0,2.0,46.4,4.0
0,1.6,Q4,15.0,42.7,19.5,71.0,82.45,37.7,7.0,9.2,57.959999999999994,3.0
0,2.9,Q4,10.0,24.8,9.1,11.0,165.52,70.9,4.0,11.5,12.239999999999998,1.0
0,2.6,Q1,10.0,38.4,15.0,47.0,147.33,41.7,2.0,5.4,44.1,5.0
0,3.1,Q4,29.0,51.4,32.5,73.0,141.3,19.1,1.0,5.5,25.2,11.0
1,3.5,Q1,6.0,21.9,12.0,29.0,190.97,74.4,8.0,11.0,60.2,2.0
0,1.9,Q1,24.0,46.4,20.0,10.0,169.58,36.2,4.0,5.5,27.8,6.0
0,1.6,Q4,14.0,24.1,13.0,6.0,161.98,59.9,5.0,6.3,77.16,
0,1.3,Q1,14.0,,6.0,13.0,77.79,66.5,2.0,9.9,1.8,0.0
0,3.6,Q2,13.0,31.3,9.0,38.0,90.95,62.6,2.0,,65.5,1.0
1,0.9,Q2,0.0,12.3,5.0,23.0,118.0,73.5,11.0,5.1,46.2,2.0
1,0.6,Q3,11.0,12.1,5.0,36.0,78.88,77.2,7.0,4.8,72.0,1.0
0,7.1,Q1,10.0,19.2,10.0,38.0,123.99,69.1,4.0,1.9,59.0,
1,3.1,Q3,13.0,26.1,11.0,3.0,107.58,47.7,8.0,0.2,22.9,4.0
0,3.7,Q1,14.0,33.5,15.0,8.0,123.0,48.4,6.0,3.7,40.0,4.0
0,1.4,Q3,24.0,50.8,18.0,55.0,91.92,44.0,4.0,2.5,83.8,5.0
0,0.9,Q3,4.0,12.4,4.0,78.0,116.39,68.5,9.0,7.0,42.6,1.0
0,0.7,Q4,5.0,19.5,14.3,20.0,107.78,68.0,4.0,8.0,,
0,2.0,Q2,0.0,20.3,11.0,5.0,103.12,59.8,4.0,18.6,6.5,0.0
0,5.6,Q3,9.0,27.5,16.0,42.0,80.88,52.1,7.0,14.0,,5.0
0,1.2,Q1,24.0,50.3,24.0,4.0,108.52,25.2,1.0,11.6,33.0,5.0
1,4.7,Q4,6.0,14.4,6.5,32.0,118.84,80.9,8.0,9.5,35.04,1.0
0,2.7,Q4,30.0,45.1,22.1,8.0,144.17,29.6,5.0,1.6,25.8,6.0
1,2.7,Q3,27.0,49.7,20.0,81.0,136.08,29.3,2.0,0.1,19.4,9.0
0,3.3,Q3,18.0,40.1,21.0,39.0,113.36,45.5,5.0,2.2,22.1,8.0
0,3.9,Q1,14.0,19.6,10.0,15.0,218.46,65.3,8.0,16.2,50.9,6.0
0,1.3,Q4,17.0,18.9,15.600000000000001,40.0,63.28,61.1,2.0,5.8,40.08,4.0
0,0.4,Q2,17.0,34.6,12.0,16.0,131.02,48.7,3.0,7.5,45.5,3.0
0,1.4,Q1,16.0,38.2,19.0,43.0,152.89,39.1,4.0,7.5,13.9,4.0
0,4.4,Q3,12.0,42.1,17.0,10.0,65.22,38.3,1.0,5.9,32.3,2.0
0,5.4,Q1,8.0,27.0,10.0,24.0,136.06,61.0,9.0,,23.6,5.0
0,4.9,Q2,27.0,45.6,19.0,59.0,98.09,35.1,3.0,21.5,67.8,6.0
1,7.5,Q3,29.0,48.9,22.0,34.0,134.1,27.8,1.0,5.1,22.2,10.0
1,4.9,Q4,17.0,27.6,19.5,1.0,172.03,42.1,7.0,7.2,40.8,4.0
0,0.7,Q1,1.0,12.4,5.0,9.0,45.35,59.2,2.0,4.2,18.4,0.0
0,2.1,Q2,4.0,38.7,13.0,42.0,77.1,47.0,8.0,3.8,,6.0
0,1.5,Q1,24.0,31.7,15.0,51.0,146.79,50.0,5.0,4.1,65.8,6.0
0,0.9,Q1,22.0,39.4,19.0,13.0,86.03,39.1,4.0,,46.1,9.0
1,0.7,Q4,13.0,35.0,15.600000000000001,21.0,118.2,47.7,4.0,11.0,10.799999999999999,5.0
0,3.2,Q3,18.0,27.0,11.0,68.0,145.04,51.5,1.0,7.9,62.0,1.0
0,0.7,Q4,17.0,48.6,23.400000000000002,59.0,81.06,50.8,5.0,6.0,32.16,
0,2.2,Q2,26.0,32.6,15.0,4.0,61.15,53.8,12.0,7.6,65.0,5.0
0,1.4,Q2,0.0,33.0,6.0,43.0,199.48,75.1,6.0,2.1,47.8,1.0
0,2.7,Q3,17.0,30.4,14.0,1.0,85.47,41.5,4.0,10.2,12.4,3.0
1,5.0,Q3,24.0,56.2,19.0,66.0,66.29,22.7,2.0,8.2,15.3,5.0
0,4.4,Q3,14.0,22.7,14.0,1.0,121.7,35.2,5.0,8.3,9.3,4.0
0,0.5,Q4,15.0,28.0,14.3,91.0,107.02,55.4,3.0,8.7,33.839999999999996,2.0
0,3.0,Q4,0.0,26.8,16.900000000000002,3.0,68.54,78.4,6.0,6.4,45.84,1.0
0,6.0,Q1,0.0,30.2,7.0,10.0,122.66,64.3,8.0,0.9,34.1,
1,0.4,Q2,14.0,35.9,16.0,22.0,169.79,51.9,4.0,4.4,26.7,3.0
0,1.7,Q4,18.0,36.5,15.600000000000001,69.0,76.83,44.9,3.0,5.9,,5.0
0,1.4,Q2,0.0,33.6,8.0,32.0,101.11,64.0,4.0,1.4,26.0,2.0
0,0.8,Q4,10.0,19.1,13.0,64.0,204.64,59.5,9.0,2.7,63.48,
0,1.4,Q3,0.0,29.2,9.0,1.0,53.47,52.1,2.0,5.3,34.7,1.0
